127.0.0.1, 2015-06-25 09:57:28, GET, /admin/default/site, HTTP/1.1, 200, 0.048599
127.0.0.1, 2015-06-25 09:57:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000337
127.0.0.1, 2015-06-25 09:57:35, GET, /rpctest/default/index, HTTP/1.1, 200, 0.439420
127.0.0.1, 2015-06-25 09:57:43, GET, /admin/default/index, HTTP/1.1, 303, 0.007054
127.0.0.1, 2015-06-25 09:57:43, GET, /admin/default/site, HTTP/1.1, 200, 0.051178
127.0.0.1, 2015-06-25 09:57:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000323
127.0.0.1, 2015-06-25 09:57:47, GET, /admin/default/design/rpctest, HTTP/1.1, 200, 0.357779
127.0.0.1, 2015-06-25 09:57:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000913
127.0.0.1, 2015-06-25 09:57:51, GET, /admin/default/test/rpctest/rpc.py, HTTP/1.1, 200, 0.053536
127.0.0.1, 2015-06-25 09:57:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000422
127.0.0.1, 2015-06-25 09:57:52, POST, /rpctest/rpc/_TEST, HTTP/1.1, 200, 0.719536
127.0.0.1, 2015-06-25 09:58:26, GET, /admin/default/test/rpctest/rpc.py, HTTP/1.1, 200, 0.059450
127.0.0.1, 2015-06-25 09:58:26, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 304, 0.006459
127.0.0.1, 2015-06-25 09:58:26, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 304, 0.001457
127.0.0.1, 2015-06-25 09:58:26, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001272
127.0.0.1, 2015-06-25 09:58:26, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 304, 0.003871
127.0.0.1, 2015-06-25 09:58:26, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.004271
127.0.0.1, 2015-06-25 09:58:26, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 304, 0.007748
127.0.0.1, 2015-06-25 09:58:26, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000856
127.0.0.1, 2015-06-25 09:58:26, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 304, 0.000995
127.0.0.1, 2015-06-25 09:58:26, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000850
127.0.0.1, 2015-06-25 09:58:26, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 304, 0.004094
127.0.0.1, 2015-06-25 09:58:26, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.001631
127.0.0.1, 2015-06-25 09:58:26, GET, /admin/static/_2.11.2/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.004372
127.0.0.1, 2015-06-25 09:58:26, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 304, 0.000469
127.0.0.1, 2015-06-25 09:58:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000898
